2022.TW 聚亨 現價:-
2023.TW 燁輝 現價:15.25
2024.TW 志聯 現價:15.45
2025.TW 千興 現價:5.70
2027.TW 大成鋼 現價:37.00
2028.TW 威致 現價:24.05
2029.TW 盛餘 現價:23.50
2030.TW 彰源 現價:18.60
2031.TW 新光鋼 現價:46.80
2032.TW 新鋼 現價:16.70
2033.TW 佳大 現價:14.00
2034.TW 允強 現價:27.30
2035.TWO 唐榮 現價:31.90
2038.TW 海光 現價:19.00
2049.TW 上銀 現價:197.5
2059.TW 川湖 現價:906
2061.TWO 風青 現價:16.20
2062.TW 橋椿 現價:22.10
2063.TWO 世鎧 現價:49.65
2064.TWO 晉椿 現價:16.60
2065.TWO 世豐 現價:56.1
2066.TWO 世德 現價:84.1
2067.TWO 嘉鋼 現價:13.40
2069.TW 運錩 現價:16.95
2070.TWO 精湛 現價:29.95
2073.TWO 雄順 現價:31.00
2101.TW 南港 現價:38.25
2102.TW 泰豐 現價:17.10
2103.TW 台橡 現價:23.40
2104.TW 國際中橡 現價:19.75
2105.TW 正新 現價:37.75
2106.TW 建大 現價:29.40
2107.TW 厚生 現價:21.20
2108.TW 南帝 現價:35.60
2109.TW 華豐 現價:14.20
2114.TW 鑫永銓 現價:99.2
2115.TW 六暉-KY 現價:30.55
2201.TW 裕隆 現價:74.7
2204.TW 中華 現價:83.8
2206.TW 三陽工業 現價:71.5
2207.TW 和泰車 現價:692
2208.TW 台船 現價:21.45
2211.TW 長榮鋼 現價:66.8
2221.TWO 大甲 現價:33.50
2227.TW 裕日車 現價:188.0
2228.TW 劍麟 現價:87.0
2230.TWO 泰茂 現價:96.8
2231.TW 為升 現價:143.5
2233.TW 宇隆 現價:100.5
2235.TWO 謚源 現價:43.10
2236.TW 百達-KY 現價:68.4
2239.TW 英利-KY 現價:67.8
2241.TW 艾姆勒 現價:37.00
2243.TW 宏旭-KY 現價:14.95
2247.TW 汎德永業 現價:306.5
2250.TW IKKA-KY 現價:70.2
2301.TW 光寶科 現價:146.0
2302.TW 麗正 現價:17.35
2303.TW 聯電 現價:43.80
2305.TW 全友 現價:20.25
2308.TW 台達電 現價:341.5
2312.TW 金寶 現價:16.35
2313.TW 華通 現價:42.55
2314.TW 台揚 現價:38.35
2316.TW 楠梓電 現價:35.65
2317.TW 鴻海 現價:106.0
2321.TW 東訊 現價:15.75
2323.TW 中環 現價:13.10
2324.TW 仁寶 現價:34.75
2327.TW 國巨 現價:461.5
2328.TW 廣宇 現價:38.60
2329.TW 華泰 現價:47.40
2330.TW 台積電 現價:539
2331.TW 精英 現價:29.60
2332.TW 友訊 現價:23.50
2337.TW 旺宏 現價:30.15
2338.TW 光罩 現價:68.1
2340.TW 台亞 現價:48.10
2342.TW 茂矽 現價:34.65
2344.TW 華邦電 現價:25.65
2345.TW 智邦 現價:411.5
2347.TW 聯強 現價:59.7
